identificador_info|identificador_secao|identificador_coisa|ordem|texto|informacao_complementar|link
|secao_onde_novo|cuscuzeira-preta|1|37.99|Amazon|https://www.amazon.com.br/Cuscuzeira-Alum%C3%ADnio-Grande-Refor%C3%A7ada-Tampa/dp/B0GR6Y17KG?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AKXK0S3AY60RV
|secao_onde_novo|cuscuzeira-prata-individual|1|28.90|Mercado Livre|https://www.mercadolivre.com.br/cuscuzeiro-individual-mini-tetinha-aluminio-polido-n10-cor-cinza/p/MLB19951150?pdp_filters=item_id%3AMLB3398611917&from=gshop&matt_tool=22783954&matt_word=&matt_source=google&matt_campaign_id=23351282105&matt_ad_group_id=193694047367&matt_match_type=&matt_network=g&matt_device=c&matt_creative=787871588777&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=735128188&matt_product_id=MLB19951150-product&matt_product_partition_id=2470633894065&matt_target_id=pla-2470633894065&cq_src=google_ads&cq_cmp=23351282105&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=23351282105&gclid=Cj0KCQjww8rQBhDjARIsAE43KPN4yrVUGGkTyDg-E0RAAHVQh1GUf_Zma4221TdxSECz4ksE-4ZwzFMaAvCuEALw_wcB
|secao_onde_usado|airfryer|1|250.00|OLX|https://am.olx.com.br/regiao-de-manaus/eletro/eletroportateis-para-cozinha-e-limpeza/fritadeira-eletrica-mondial-family-inox-1412570953?lis=listing_20060
|secao_onde_usado|exemplo1|1|250.00|OLX|https://am.olx.com.br/regiao-de-manaus/eletro/eletroportateis-para-cozinha-e-limpeza/fritadeira-eletrica-mondial-family-inox-1412570953?lis=listing_20060
|secao_onde_usado|exemplo2|1|120.00|AAA|https://am.olx.com.br/regiao-de-manaus/eletro/eletroportateis-para-cozinha-e-limpeza/fritadeira-eletrica-mondial-family-inox-1412570953?lis=listing_20060
|secao_onde_usado|micro|1|291.00|OLX|https://am.olx.com.br/regiao-de-manaus/eletro/fogoes-e-fornos/microondas-consul-1503722158?lis=listing_no_category
info014|secao_onde_compra|micro|1|Loja da Consul||https://www.consul.com.br/micro-ondas-consul-32-litros-cor-cinza-espelhado-com-menu-facil-cms46ar/p
info015|secao_onde_compra|secadora|1|Amazon||https://www.amazon.com.br/Secadora-Roupa-Cabides-Solaris-Mueller/dp/B0755S6P24/ref=pe_28167990_475832830_rp_2/147-7077145-1085334/ref=rp?_encoding=UTF8&pd_rd_i=B0755S6P24&pd_rd_w=b29xY&pf_rd_p=77068089-6d3a-4aac-9f7f-6b7ecf7915b5&pf_rd_r=9XBNCK84FRQM942HV5H4&pd_rd_r=1338f8d8-5466-4ec8-90c9-d5d199b6821a&pd_rd_wg=NDUHp&th=1
info016|secao_onde_compra|exemplo1|1|Amazon||https://www.amazon.com.br/Secadora-Roupa-Cabides-Solaris-Mueller/dp/B0755S6P24/ref=pe_28167990_475832830_rp_2/147-7077145-1085334/ref=rp?_encoding=UTF8&pd_rd_i=B0755S6P24&pd_rd_w=b29xY&pf_rd_p=77068089-6d3a-4aac-9f7f-6b7ecf7915b5&pf_rd_r=9XBNCK84FRQM942HV5H4&pd_rd_r=1338f8d8-5466-4ec8-90c9-d5d199b6821a&pd_rd_wg=NDUHp&th=1
info017|secao_onde_compra|exemplo2|1|XPTO||https://www.amazon.com.br/Secadora-Roupa-Cabides-Solaris-Mueller/dp/B0755S6P24/ref=pe_28167990_475832830_rp_2/147-7077145-1085334/ref=rp?_encoding=UTF8&pd_rd_i=B0755S6P24&pd_rd_w=b29xY&pf_rd_p=77068089-6d3a-4aac-9f7f-6b7ecf7915b5&pf_rd_r=9XBNCK84FRQM942HV5H4&pd_rd_r=1338f8d8-5466-4ec8-90c9-d5d199b6821a&pd_rd_wg=NDUHp&th=1
